1, H , Hydrogen,1.007944
2, He , Helium,4.0026022
3, Li , Lithium,6.9412
4, Be , Beryllium,9.0121823
5, B , Boron,10.8117
6, C , Carbon,12.01078
7, N , Nitrogen,14.00672
8, O , Oxygen,15.99943
9, F , Fluorine,18.99840325
10, Ne , Neon,20.17976
11, Na , Sodium,22.98976928
12, Mg , Magnesium,24.30506
13, Al , Aluminum,26.98153868
14, Si , Silicon,28.08553
15, P , Phosphorus,30.9737622
16, S , Sulfur,32.0655
17, Cl , Chlorine,35.4532
18, Ar , Argon,39.9481
19, K , Potassium,39.09831
20, Ca , Calcium,40.0784
21, Sc , Scandium,44.9559126
22, Ti , Titanium,47.8671
23, V , Vanadium,50.94151
24, Cr , Chromium,51.99616
25, Mn , Manganese,54.9380455
26, Fe , Iron,55.8452
27, Co , Cobalt,58.9331955
28, Ni , Nickel,58.69344
29, Cu , Copper,63.5463
30, Zn , Zinc,65.382
31, Ga , Gallium,69.7231
32, Ge , Germanium,72.641
33, As , Arsenic,74.921602
34, Se , Selenium,78.963
35, Br , Bromine,79.9041
36, Kr , Krypton,83.7982
37, Rb , Rubidium,85.46783
38, Sr , Strontium,87.621
39, Y , Yttrium,88.905852
40, Zr , Zirconium,91.2242
41, Nb , Niobium,92.906382
42, Mo , Molybdenum,95.962
43, Tc , Technetium,98
44, Ru , Ruthenium,101.072
45, Rh , Rhodium,102.905502
46, Pd , Palladium,106.421
47, Ag , Silver,107.86822
48, Cd , Cadmium,112.4118
49, In , Indium,114.8183
50, Sn , Tin,118.7107
51, Sb , Antimony,121.7601
52, Te , Tellurium,127.603
53, I , Iodine,126.904473
54, Xe , Xenon,131.2936
55, Cs , Cesium,132.9054519
56, Ba , Barium,137.3277
57, La , Lanthanum,138.905477
58, Ce , Cerium,140.1161
59, Pr , Praseodymium,140.907652
60, Nd , Neodymium,144.2423
61, Pm , Promethium,145
62, Sm , Samarium,150.362
63, Eu , Europium,151.9641
64, Gd , Gadolinium,157.253
65, Tb , Terbium,158.925352
66, Dy , Dysprosium,162.5001
67, Ho , Holmium,164.930322
68, Er , Erbium,167.2593
69, Tm , Thulium,168.934212
70, Yb , Ytterbium,173.0545
71, Lu , Lutetium,174.96681
72, Hf , Hafnium,178.492
73, Ta , Tantalum,180.947882
74, W , Tungsten,183.841
75, Re , Rhenium,186.2071
76, Os , Osmium,190.233
77, Ir , Iridium,192.2173
78, Pt , Platinum,195.0849
79, Au , Gold,196.9665694
80, Hg , Mercury,200.592
81, Tl , Thallium,204.38332
82, Pb , Lead,207.21
83, Bi , Bismuth,208.980401
84, Po , Polonium,209
85, At , Astatine,210
86, Rn , Radon,222
87, Fr , Francium,223
88, Ra , Radium,226
89, Ac , Actinium,227
90, Th , Thorium,232.038062
91, Pa , Protactinium,231.035882
92, U , Uranium,238.028913
93, Np , Neptunium,237
94, Pu , Plutonium,244
95, Am , Americium,243
96, Cm , Curium,247
97, Bk , Berkelium,247
98, Cf , Californium,251
99, Es , Einsteinium,252
100, Fm , Fermium,257
101, Md , Mendelevium,258
102, No , Nobelium,259
103, Lr , Lawrencium,262
104, Rf , Rutherfordium,267
105, Db , Dubnium,268
106, Sg , Seaborgium,271
107, Bh , Bohrium,272
108, Hs , Hassium,270
109, Mt , Meitnerium,276
110, Ds , Darmstadtium,281
111, Rg , Roentgenium,280
112, Cn , Copernicium,285
113, Nh , Nihonium,284
114, Fl , Flerovium,289
115, Mc , Moscovium,288
116, Lv , Livermorium,293
117, Ts , Tennessine,294
118, Og , Oganesson,294
